overall_rank,parameter,current_status,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,overall_biological_priority_score,weighting_rule
1,"dieProbMP","fixed",0.845980261939,0.630707427917,0.785720385054,0.655871719491,0.420410441397,0.544444444444,0.647189113374,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
2,"divProbMP","fixed",0.298946059602,0.118204530525,0.554328394602,0.702534451697,0.564315931161,0.733333333333,0.495277116820,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
3,"divProbFP","ABC-inferred",0.317776265296,0.155493843680,0.452508207889,0.224438560322,0.208661381739,0.666666666667,0.337590820932,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
4,"stressStrength","fixed",0.269315433489,0.445668580963,0.0922377195501,0.187539458694,0.0484011489929,0.858536585366,0.316949821176,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
5,"dieProbFP","fixed",0.146663280928,0.452406095536,0.371602412630,0.0309020858426,0.206976491678,0.582926829268,0.298579532647,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
6,"macrophageInteractionRadius","hard-coded",0.144325601156,0.414312614917,0.166800525965,0.176746204077,0.100375336265,0.788888888889,0.298574861878,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
7,"divProbFN","fixed",0.216747432820,0.274434905776,0.704398182350,0.194179145258,0.128328323511,0.211111111111,0.288199850138,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
8,"divProbP","ABC-inferred",0.485948459648,0.180908710555,0.137197655492,0.0679426857626,0.147518101565,0.677777777778,0.282882231800,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
9,"dieProbFN","fixed",0.252623308503,0.0926726868021,0.442831659847,0.0817826172574,0.0318319550596,0.782926829268,0.280778176123,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
10,"endothelialMacrophageRadius","hard-coded",0.231989542497,0.414564486701,0.108719447927,0.0486695213489,0.361852734845,0.509756097561,0.279258638480,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
11,"dieProbMN","fixed",0.119835413723,0.101599779675,0.498912895375,0.483725546179,0.169990460443,0.300000000000,0.279010682566,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
12,"activProbM","ABC-inferred",0.149568076012,0.291667568058,0.134077815916,0.165406789660,0.0545715410777,0.866666666667,0.276993076232,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
13,"netN","ABC-inferred",0.144359673917,0.109323613588,0.207473752808,0.0948806090857,0.203780031520,0.800000000000,0.259969613487,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
14,"activProbF","ABC-inferred",0.199444914893,0.0861136654307,0.408732264876,0.0907920536078,0.141827214619,0.622222222222,0.258188722608,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
15,"migrProbP","fixed",0.255725720752,0.559232690960,0.0965585642286,0.0644637425226,0.0671007547933,0.455555555556,0.249772838135,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
16,"initialLungCount","hard-coded",0.276292105653,0.152524033859,0.194824473741,0.210644437881,0.0694379748182,0.590243902439,0.248994488065,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
17,"cafDivBoost","ABC-inferred",0.0552497676261,0.0228124997689,0.154647120419,0.0717457437394,0.380171035541,0.804878048780,0.248250702646,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
18,"divProbEP","fixed",0.344128805445,0.0648049418955,0.0381195439587,0.118006220134,0.481539094982,0.422222222222,0.244803471440,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
19,"dieProbL","fixed",0.209669650099,0.251969760489,0.168672131228,0.0773518092773,0.0490285900296,0.700000000000,0.242781990187,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
20,"initialJnkPositiveTenths","hard-coded",0.304480174887,0.352041244370,0.213727165550,0.103217128110,0.0324992950220,0.446341463415,0.242051078559,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
21,"lambdaCAF","fixed",0.112140199634,0.402394391942,0.142766917467,0.116133731648,0.0407259944489,0.592682926829,0.234474026995,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
22,"clusterRadius","fixed",0.300671702409,0.277791211670,0.210255372927,0.130461637620,0.0531859505988,0.424390243902,0.232792686521,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
23,"dieProbP","ABC-inferred",0.356027132032,0.0624411510372,0.146483331745,0.0437332719587,0.0817920905705,0.695121951220,0.230933154761,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
24,"migrProbN","fixed",0.195439586150,0.328562150289,0.104049484464,0.191414092171,0.0275025348724,0.500000000000,0.224494641324,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
25,"lambdaStress","fixed",0.243407898119,0.616591239659,0.143565816210,0.0697560978509,0.00398481907947,0.246341463415,0.220607889056,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
26,"initPop","fixed CLI",0.246723750113,0.216315319513,0.0904028792895,0.0652296991704,0.0360731849111,0.658536585366,0.218880236394,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
27,"macrophageDaughterActivationBoost","hard-coded",0.139475329654,0.0788284522378,0.0516778141014,0.0449857567543,0.390120453957,0.558536585366,0.210604065345,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
28,"deactProbE","fixed",0.207711720269,0.211851401922,0.113205069763,0.0493343351926,0.340902418317,0.331707317073,0.209118710423,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
29,"activProbE","ABC-inferred",0.0730634297012,0.101217399094,0.118514934507,0.0670353144597,0.216633214396,0.670731707317,0.207865999913,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
30,"pOnMax","ABC-inferred",0.138646458180,0.254704993240,0.0604913424959,0.181646269942,0.0336048218566,0.533333333333,0.200404536508,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
31,"ecSurvival","ABC-inferred",0.233225997874,0.0427635948843,0.141917140673,0.0799322521341,0.0518066827394,0.646341463415,0.199331188620,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
32,"dieProbN","ABC-inferred",0.178438923931,0.106020769370,0.182677258247,0.0780207418716,0.0298977929455,0.609756097561,0.197468597321,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
33,"pOffMax","ABC-inferred",0.234832845183,0.328332669268,0.0974231271954,0.0411083849765,0.149462910740,0.322222222222,0.195563693264,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
34,"dieProbEN","fixed",0.0759034153200,0.198830789000,0.0443183190436,0.319509432218,0.115288221178,0.402439024390,0.192714866858,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
35,"divProbMN","fixed",0.110442247548,0.138463951019,0.109877731467,0.274279821355,0.162345458767,0.355555555556,0.191827460952,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
36,"macrophageEndothelialBiasRadius","hard-coded",0.111978522455,0.215896083533,0.113079422004,0.104009244008,0.0620143371360,0.512195121951,0.186528788515,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
37,"initialMacrophageCount","hard-coded",0.427013154958,0.0989534057101,0.165623089062,0.164806960377,0.117701897248,0.133333333333,0.184571973448,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
38,"fibroblastSignalBoost","hard-coded",0.0722875093141,0.166482489731,0.0630847938740,0.0947720816087,0.0873937371324,0.592682926829,0.179450589748,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
39,"dieProbEP","fixed",0.0577885623046,0.139685054636,0.0470393846429,0.202449023240,0.116877213947,0.504878048780,0.178119547925,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
40,"recruitBias","fixed",0.149049389777,0.0514290407661,0.112117918201,0.120324888063,0.109658676356,0.477777777778,0.170059615157,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
41,"tumorEndothelialRadius","hard-coded",0.0857602975620,0.0555319153592,0.0319995603612,0.0536280483101,0.0493591198219,0.722222222222,0.166416860606,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
42,"fibroblastTumorRadius","hard-coded",0.196204880558,0.0959397921723,0.142761419320,0.0825057067687,0.0402692114111,0.433333333333,0.165169057261,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
43,"endothelialDaughterDivisionBoost","hard-coded",0.0153533772027,0.0191461936150,0.0364037162387,0.00616546833641,0.00184390131634,0.811111111111,0.148337294637,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
44,"fibroblastSignalCap","hard-coded",0,0,0,0,0,0.788888888889,0.131481481481,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
45,"migrProbM","fixed",0.161166778043,0.0606166511429,0.122276006878,0.172305437453,0.0746614358836,0.129268292683,0.120049100347,"mean of six equally weighted family scores; within-family mean of output-wise mu-star divided by that output's maximum; failure=max absolute rank-biserial"
